Player,Rank,Grade,Analysis
Tanner Arkin,352,5.7,Arkin is a stout TE that provides reliability as a blocker in both the pass and run game but has limitations as a pass catcher that will limit his role at the next level.
Eric O'Neill,353,5.7,While he doesn’t fit the desired physical profile that most teams require O’Neill is a smart quick and high-effort edge rusher who can be a low-end backup at the next level.
Jack Velling,354,5.7,Velling is a savvy receiving tight end with good size and hands but does not pose the mismatch threat or the blocking ability to fill the role of a true No. 2 H-TE.
Marcus Allen,355,5.7,Allen has solid size strength and zone awareness to make it as a back-end-of-the-roster player but limited speed tackling efficiency and versatility likely limit his potential at the next level.
Nick Dawkins,356,5.7,Dawkins is an athletic center that shows good blocking range and a sufficient anchor but his lack of blocking power and effectiveness at the 2nd level will limit him to a backup-only role.
Josh Gesky,357,5.7,Gesky is a robust left guard that is both resilient and aware but his body control and balance concerns along with his lack of power in the run game will limit his ceiling at the next level.
Tanoa Togiai,358,5.7,Togiai offers a large frame movement fluidity and experience to NFL teams but his lack of refined hand usage and footwork combined with a limited positional profile suggests he will primarily serve in a backup role early in his career.
Alex Harkey,359,5.7,Harkey is a solidly-built lineman who plays with the desired power and play temperament but must improve his core strength and body control to become a quality backup at the next level.
James Neal III,360,5.7,Neal will use his wide frame strong upper body and experience to fight for a roster spot despite lacking high-level athletic traits quick feet and proper timing.
Jaden Dugger,361,5.7,Dugger is a lengthy linebacker with reliable tackling and solid range but slow play recognition difficulty working through blocks and a lack of tenacity will likely leave him fighting for a roster spot.
James Brockermeyer,362,5.7,Brockermeyer displays the intelligence and awareness that teams will look for in a center but his struggles against big physical defensive linemen will limit his overall effectiveness and keep him from starting at the next level.
Sabastian Harsh,363,5.7,Harsh is a versatile pass rushing EDGE who wins with his relentless motor and powerful hand use but will need to improve his run game discipline secondary moves and develop his ability to bend to get more playing time in the NFL.
Keyshawn James-Newby,364,5.7,James-Newby is able to win his rush with speed and finesse moves but is plagued with a lack of bend utilization of power moves and production in run support which will limit his usage at the next level.
Ceyair Wright,365,5.7,Wright has NFL-level speed and leadership qualities but his thin frame shortcomings in play strength and tight lower body will limit him to being a low-end backup at the next level.
Jordan Pollard,366,5.7,Pollard has the athleticism eye discipline and FBI to develop but his lack of coverage ability and strength to take on and shed blockers will keep him low on depth charts at the next level.
Pete Nygra,367,5.7,Nygra is a tough run-first center with adequate athleticism and anchor strength but his lack of length hand-fighting abilities and inconsistent leverage will limit him to a backup role at the next level.
David Blay Jr,368,5.7,Blay is a strong and tough run-stopping nose tackle that can anchor a defensive line but minimal production against the pass and struggles against double teams will make it tough for him to see consistent playing time at the next level.
Chris Adams,369,5.7,Adams is a project who may take significant time to reach his ceiling given his issues as both a pass blocker and run blocker. That's thanks to mental lapses hand technique concerns and lack of footwork mirroring.
Jalen Catalon,370,5.7,Catalon has consistently displayed resiliency fighting back through countless injuries but he possesses too many limitations to earn more than fringe roster consideration.
Eli Heidenreich,371,5.6,Heidenreich used his toughness functional athleticism and team-first approach to carve out a valuable role at the collegiate level but he will need to show he can be a reliable blocker in pass protection and create plays as a runner to earn NFL reps.
Dean Connors,372,5.6,Connors is an intriguing prospect who is a natural hands-catcher and possesses toughness in spades but a lack of playmaking ability and reliability as a workhouse back may entice teams to work him into a fullback role.
Jaydn Ott,373,5.6,Ott will look to show that his ceiling is what he showed during his first 2 seasons instead of the last 2 seasons which showed a non-factor in every area of the game.
Adam Randall,374,5.6,Randall is a big-bodied WR-turned-RB who shows flashes of upside but he’s severely undeveloped as a RB as his feel as a runner and technique in pass pro need major work before he can be relied upon at the next level.
Tyren Montgomery,375,5.6,Montgomery is a size and speed-deficient wideout who makes up for it with his release package and savvy route running which will give him a shot to compete in a limited role.
Jamal Haynes,376,5.6,Haynes is a short compact running back who has enough burst and receiving ability to be given a chance in a RB rotation but a lack of breakaway speed explosiveness and power limit his upside at the next level.
Desmond Reid,377,5.6,While undersized Reid will surely have a defined role at the next level as a gadgety playmaker but his inability to play with power and play through contact will limit his playing time.
Chip Trayanum,378,5.6,Trayanum has the requisite vision burst and contact balance as well as special teams experience to earn his keep but a lack of passing-down utility and big-play upside will keep him toward the bottom of the depth chart at the next level.
TJ Harden,379,5.6,Harden’s tough running style contact balance and pass game upside as both a blocker and receiver make him an intriguing depth-level back but limited speed elusiveness and vision will work against him in his fight to make a roster.
Curtis Allen,380,5.6,Allen is a punishing volume-heavy runner that produces with his vision and strength through contact but lack of top-end speed and impact in the pass game as a blocker or catcher will limit his usage at the NFL level.
Chris Hilton Jr,381,5.6,Hilton is an underutilized receiver who possesses vertical speed and ability to track the ball well downfield but his lack of play strength and route running ability will make it an uphill battle for him to make a roster at the next level.
